id|name|stock_name|price|quantity|start_date
1|Ella Blonfield|KKR & Co. L.P.|3818.49|999|2019-12-05
2|Dorella Stores|John Bean Technologies Corporation|9480.73|448|2019-09-21
3|Darby Doidge|G1 Therapeutics, Inc.|6272.94|5|2020-04-04
4|Georgeanna Winear|R.R. Donnelley & Sons Company|8328.61|446|2020-01-04
5|Bendite Roubert|AmTrust Financial Services, Inc.|7621.59|821|2019-02-16
6|Morna Nealy|Threshold Pharmaceuticals, Inc.|1236.68|677|2019-12-29
7|Morgen Oen|ExlService Holdings, Inc.|3447.63|794|2020-05-18
8|Ancell Jarad|AllianceBernstein Holding L.P.|6386.83|481|2019-04-06
9|Celestyna Borsnall|Knoll, Inc.|1150.40|417|2019-11-22
10|Ritchie Lightowler|Nuven Mortgage Opportunity Term Fund 2|3901.34|4|2019-12-29
11|Beatriz Verity|John Hancock Tax-Advantaged Global Shareholder Yield Fund|9544.35|520|2020-03-25
12|Sumner Linnemann|The Michaels Companies, Inc.|3721.75|391|2020-04-22
13|Melany Vedeniktov|Amyris, Inc.|5219.95|477|2019-11-06
14|Mellie Youll|ObsEva SA|2744.04|8|2020-06-03
15|Lurleen Richings|Diana Shipping inc.|1981.24|633|2019-06-05
16|Justino Archard|Seanergy Maritime Holdings Corp|1416.43|611|2020-04-19
17|Rodge Lorkings|First Trust Japan AlphaDEX Fund|1315.78|305|2019-10-26
18|Erin Fladgate|Tri Continental Corporation|7913.90|90|2019-03-12
19|Aldric Treswell|Dynegy Inc.|5166.69|232|2020-02-23
20|Raffarty Bustard|Ironwood Pharmaceuticals, Inc.|7786.69|369|2019-01-30
21|Honey Ferreiro|Strata Skin Sciences, Inc.|6226.47|826|2019-01-25
22|Waylon Beaglehole|Ameren Corporation|1406.98|751|2019-04-24
23|Brandi Merali|Take-Two Interactive Software, Inc.|6017.16|405|2019-12-27
24|Amargo Caveney|ABB Ltd|7129.68|360|2019-08-25
25|Stanislas Feron|Greif Bros. Corporation|2922.11|708|2020-08-09
